Country,Mangroves,Latitude,Longitude,MIN_POINT_X,MAX_POINT_X,MIN_POINT_Y,MAX_POINT_Y
Aruba,1,12.50931542,-69.97027576,-70.06346893,-69.86541748,12.41236115,12.62402916
Afghanistan,0,33.82841536,66.02958642,60.50486755,74.89412689,29.36157227,38.49092483
Angola,1,-12.29796397,17.54915809,11.66847324,24.08211708,-18.04208183,-4.372591019
Anguilla,1,18.22338226,-63.05813322,-63.4295845,-62.92402649,18.15430641,18.59541702
Åland Islands,0,60.20192652,20.16484755,19.3046875,21.32861137,59.74792099,60.65208435
Albania,0,41.14060103,20.06284219,19.26319695,21.04966545,39.65032959,42.6607132
Andorra,0,42.54380002,1.575153087,1.413715959,1.784208894,42.42884445,42.65231705
United Arab Emirates,1,23.91467822,54.32728039,51.49797821,56.38116074,22.64440918,26.0693264
Argentina,0,-35.38996,-65.16699768,-73.57778168,-53.59183502,-55.06153107,-21.77854729
Armenia,0,40.2943328,44.9387801,43.44977951,46.6300354,38.83052063,41.30183792
American Samoa,1,-14.22299288,-170.3142264,-171.090271,-168.1430511,-14.54888916,-11.04777813
Antarctica,0,-80.50695687,19.87252596,-180,180,-90,-59.59375
French Southern Territories,0,-48.97706305,68.62745957,40.32819366,77.60327149,-50.01889038,-11.51375008
Antigua and Barbuda,1,17.27096087,-61.7982679,-62.34902954,-61.65652847,16.93152809,17.72958374
Australia,1,-25.72909499,134.4910201,112.9211121,159.1092224,-55.11694336,-9.142175675
Austria,0,47.58812485,14.14303886,9.533723831,17.16236115,46.37481689,49.01704407
Azerbaijan,0,40.28748388,47.5302536,44.77260208,50.60782623,38.39704514,41.90748215
Burundi,0,-3.367655276,29.88981616,29.00034523,30.85022545,-4.470001221,-2.30982256
Belgium,0,50.64094345,4.662170791,2.55535555,6.407870293,49.49721527,51.50382233
Benin,1,9.65422325,2.339712982,0.774573983,3.851701021,6.235139846,12.41835117
Bonaire Sint Eustatius and Saba,1,12.82315853,-67.6682128,-68.42069244,-62.94180679,12.0243063,17.65069389
Burkina Faso,0,12.27429073,-1.745660194,-5.518918037,2.405400038,9.401107788,15.08259201
Bangladesh,1,23.8367621,90.27738402,88.01056671,92.67366028,20.74111176,26.63407326
Bulgaria,0,42.75592079,25.22465221,22.34374809,28.60902786,41.23480988,44.212677
Bahrain,1,26.03885468,50.56058361,50.27466965,50.82485962,25.55624962,26.2887516
Bahamas,1,24.25933675,-76.64653235,-80.47597504,-72.71208191,20.91208267,27.27138901
Bosnia and Herzegovina,0,44.17563915,17.78875896,15.72738648,19.61470985,42.56530762,45.27468109
Saint Barthélemy,1,17.90634307,-62.83374121,-62.9481926,-62.78763962,17.87013817,17.96152878
Belarus,0,53.54546479,28.05590791,23.1783371,32.79460907,51.2695694,56.16836166
Belize,1,17.20811296,-88.69052036,-89.2241745,-87.48596954,15.89265823,18.49728966
Bermuda,1,32.30941324,-64.76718511,-64.88777924,-64.64620209,32.24666595,32.47722626
"Bolivia, Plurinational State of",0,-16.71333828,-64.6567571,-69.63902283,-57.45384979,-22.89612961,-9.669329644
Brazil,1,-10.74366102,-53.07658774,-73.98970795,-28.84694481,-33.74708176,5.264877796
Barbados,1,13.17226208,-59.55638952,-59.6506958,-59.41930389,13.04458427,13.33514023
Brunei Darussalam,1,4.528175938,114.7560953,114.1280518,115.3759613,4.022199153,5.046019077
Bhutan,0,27.39567171,90.4284074,88.74604034,92.12475586,26.70065498,28.24767876
Bouvet Island,0,-54.42832111,3.382171105,3.284445048,3.487485885,-54.46458435,-54.38639069
Botswana,0,-22.18806067,23.81353332,19.99953461,29.36831093,-26.90737915,-17.7808094
Central African Republic,0,6.574471619,20.48553235,14.41774082,27.46342087,2.220515013,11.00757027
Canada,0,61.36744035,-98.26930282,-141.0068665,-52.61888885,41.67692566,83.11042023
Cocos (Keeling) Islands,0,-12.13457614,96.86223629,96.81694031,96.92948151,-12.20872307,-11.81462002
Switzerland,0,46.80106705,8.230251524,5.956063271,10.49511242,45.81705856,47.80848312
Chile,0,-38.0271429,-71.39189489,-109.4549866,-66.41471863,-55.98402786,-17.50754547
China,1,36.56069891,103.8579343,73.55770111,134.7739258,18.15930557,53.56085968
Cote d'Ivoire,1,7.625538273,-5.554445777,-8.599302291,-2.494896888,4.361806869,10.73663998
Cameroon,1,5.693973488,12.7415037,8.499454498,16.19104576,1.652267099,13.07739067
The Democratic Republic of the Congo,1,-2.881190343,23.66075785,12.2066288,31.30572319,-13.45567608,5.386097908
Congo,1,-0.833253449,15.24466951,11.20085812,18.64999962,-5.030663968,3.703082084
Cook Islands,0,-19.18279522,-158.9294754,-165.8794403,-157.3205566,-21.95908737,-8.914978981
Colombia,1,3.902581298,-73.0867314,-81.84152985,-66.87033081,-4.228428841,15.91247463
Comoros,1,-11.89429235,43.68395502,43.22874832,44.54097366,-12.42263985,-11.36486053
Cabo Verde,1,15.94737769,-23.97819662,-25.36180305,-22.65680504,14.80180454,17.20541573
Costa Rica,1,9.971239327,-84.19557373,-87.09486389,-82.55322266,5.499026775,11.21691799
Cuba,1,21.62547667,-79.02979653,-84.95236206,-74.13118744,19.8259716,23.27763939
Curacao,1,12.19337787,-68.97154392,-69.1626358,-68.63930512,11.97819519,12.39291763
Christmas Island,1,-10.48534406,105.6365531,105.5327759,105.7133331,-10.57083321,-10.41207027
Cayman Islands,1,19.42543631,-80.87358444,-81.4201355,-79.72264099,19.26263809,19.75736046
Cyprus,0,34.92672171,33.00303699,32.26930618,34.0881958,34.62501907,35.19940186
Czechia,0,49.74058805,15.33026616,12.09076023,18.85925293,48.54084015,51.05569076
Germany,0,51.10974954,10.39424885,5.866250516,15.0418148,47.27012253,55.05652618
Djibouti,1,11.74184156,42.57156202,41.76045227,43.41764069,10.9524107,12.70677757
Dominica,1,15.43455148,-61.34998778,-61.48014069,-61.24013901,15.20625114,15.64013863
Denmark,0,55.9577683,10.05591268,8.076389313,15.19305611,54.55902862,57.75152588
Dominican Republic,1,18.89571591,-70.49288412,-72.00388336,-68.32263946,17.47013855,19.9323616
Algeria,0,28.15837386,2.677146025,-8.673868179,11.98891068,18.96003151,37.09513855
Ecuador,1,-1.428014346,-78.77510352,-92.00854492,-75.18714905,-5.015803337,1.681834578
Egypt,1,26.56979906,29.78365914,24.69809914,36.24874878,21.72538948,31.66791725
Eritrea,1,15.38191527,38.85727124,36.43876648,43.13763809,12.35698223,18.00671387
Western Sahara,0,24.67902248,-13.13473229,-17.10541534,-8.670013427,20.76958275,27.68309784
Spain,0,40.22689584,-3.647067268,-18.16152763,4.328195096,27.63736153,43.79152679
Estonia,0,58.67063371,25.5497029,21.76431274,28.20903778,57.51394653,59.82201767
Ethiopia,0,8.629764362,39.62619545,33.00153732,47.95822907,3.398823023,14.8454771
Finland,0,64.48574532,26.24620271,20.55120659,31.58279991,59.72097015,70.09145355
Fiji,1,-17.44562621,161.8003686,-180,180,-21.04249954,-12.46172428
Falkland Islands (Malvinas),0,-51.74123325,-59.39527004,-7.683333397,-6.245833397,61.39374924,62.39166641
France,0,46.55891593,2.553552532,-5.143751144,9.560416222,41.33375168,51.08939743
